(2:0.9338,((1:0.7038,(3:0.5975,4:0.9334):0.9136):0.7444,(5:1.4500,6:0.8647):2.2276):0.6037,(7:1.4715,8:0.6860):0.8701);
((6:0.8778,(2:1.5960,(1:0.9770,8:0.5571):0.9912):0.8938):1.5871,(3:1.8160,7:0.5730):0.8266,(4:0.6706,5:0.8003):0.8335);
(4:0.6283,(5:2.1313,(2:0.7609,3:0.7606):0.6047):0.5366,(1:2.1715,(7:0.8595,(6:0.5831,8:1.2192):0.6291):0.8171):1.2982);
(4:1.1457,(7:1.3336,(3:0.6058,5:0.9930):1.0153):0.8550,(1:0.6732,(6:1.8417,(2:0.9343,8:0.9533):1.0885):0.8969):0.6637);
((1:0.7627,(5:1.0496,(2:1.2371,4:1.4262):0.6346):0.6011):0.6126,(3:1.0791,7:0.9918):0.7200,(6:1.2345,8:1.6488):1.0020);
(7:0.6797,((6:1.4417,(1:1.1803,4:0.6753):0.6482):1.0921,(2:0.8130,3:0.9734):0.6866):1.1061,(5:0.6703,8:1.0083):2.0249);
(4:0.6472,(3:1.1973,(2:0.8709,5:0.7067):0.7549):1.1894,(6:0.6947,(7:0.8153,(1:1.5994,8:1.0906):1.3555):0.9643):1.1138);
(8:1.6516,((1:1.0400,7:1.3045):0.5937,(6:1.0729,(3:1.3071,4:1.5830):0.7191):0.7623):0.7446,(2:0.6680,5:0.9407):0.6123);
(5:1.7236,(2:0.5651,(8:0.6454,(1:0.6252,6:1.6481):1.2120):0.5735):1.0299,(4:0.5535,(3:0.8409,7:0.7091):1.4542):1.4196);
(2:0.9133,((1:1.0330,6:1.0599):0.7167,(4:0.8452,7:1.3655):1.1658):1.5119,(8:1.0898,(3:0.7740,5:0.7516):0.6523):1.1209);
(8:2.6135,(1:0.8085,(6:0.9049,(3:0.6312,7:0.6097):1.8602):0.6060):0.6173,(4:0.7523,(2:1.2117,5:0.9387):0.6835):0.7623);
(7:0.8083,(2:0.5640,(8:1.1062,(1:1.4365,4:0.9724):0.5406):1.0797):0.6901,(5:1.2034,(3:0.7255,6:0.6291):1.2693):1.9749);
((1:0.6853,(6:0.8367,(3:1.1347,7:0.7688):1.7254):0.5362):1.0206,(4:0.6950,5:0.9666):0.8375,(2:1.6673,8:1.0803):1.0456);
(8:1.3012,((1:1.1604,5:1.1546):0.7406,(6:1.7794,(3:0.7012,7:1.3110):1.0920):0.8099):0.6682,(2:0.9357,4:0.6305):0.7153);
(3:2.0665,(4:1.1760,(2:0.5937,5:0.5683):1.4292):0.9489,(8:0.6731,(6:0.8111,(1:0.4931,7:0.5813):0.5603):0.8719):2.2267);
((3:1.0196,(4:1.0820,7:1.5890):0.7009):0.6532,(5:1.0016,6:1.0198):0.6943,(8:0.8660,(1:1.8549,2:0.7144):0.5793):1.2250);
(3:2.6159,(2:1.2592,(4:0.9780,7:0.9727):0.7718):0.6957,(1:0.6755,(6:1.4120,(5:0.6779,8:0.7715):0.6923):0.8150):0.6625);
(6:1.0121,(2:0.9117,(5:1.3565,(1:1.1109,3:1.2446):1.1170):0.9619):0.8554,(8:0.7101,(4:0.7886,7:0.6224):1.5628):0.7460);
(4:0.5748,(5:1.8280,(2:0.9429,6:0.8643):0.7596):0.6607,((1:0.5456,3:0.6065):0.7477,(7:1.2035,8:0.9155):2.6594):0.6915);
(6:1.0556,(3:0.7782,(5:0.7714,(1:0.7369,8:0.7000):0.9722):1.0643):1.0621,(4:1.5987,(2:1.5479,7:0.9339):0.7173):1.0615);
(4:0.7530,(2:2.8231,(3:0.5355,(1:0.8520,7:1.1475):0.5697):0.8696):0.5849,(6:0.8870,(5:0.6161,8:1.1463):0.8476):1.3678);
(3:0.9445,(7:0.6169,(4:1.1858,6:0.6637):0.9857):1.0325,(1:1.0727,(8:0.7738,(2:0.9248,5:1.0097):1.0608):1.4915):1.2378);
((3:1.1665,(7:0.5857,(1:0.8844,6:0.6153):2.8027):0.7824):0.7619,(2:0.6510,4:1.2485):1.2215,(5:0.7883,8:0.5961):0.8956);
(5:1.1454,((1:1.1340,2:1.0579):1.0721,(3:1.3392,(4:1.2456,6:0.8049):0.8481):0.8937):0.8347,(7:0.6987,8:0.7599):1.1657);
((6:0.5682,(1:0.5695,2:1.0550):0.5311):0.5469,(3:1.9925,(4:0.9241,7:0.4645):0.6193):1.3532,(5:0.5857,8:2.1497):1.6404);
(5:0.6180,(4:0.8409,(1:2.4235,(7:1.4914,8:0.7508):0.7975):1.8249):0.5192,(6:0.6253,(2:0.5450,3:0.9232):0.7567):0.8837);
((7:0.7277,(6:0.5442,(1:0.9071,3:1.1380):1.8140):0.6883):1.2770,(2:1.4037,5:0.6062):0.6921,(4:0.9605,8:1.1274):1.1138);
(7:0.8309,(1:0.6259,(3:0.6280,(4:0.6968,6:0.5894):1.3806):0.6988):1.2097,(5:1.5213,(2:1.4443,8:1.4317):0.7686):1.1739);
(8:1.2524,((1:0.6644,4:2.6245):0.8607,(3:0.7404,6:0.6052):1.3007):0.8103,(2:0.6735,(5:1.0311,7:1.0383):0.5422):0.8562);
(6:0.9306,(1:0.7920,(2:0.8405,(5:0.4813,7:1.1078):1.5491):1.0458):0.9951,(8:1.0369,(3:1.9601,4:0.8607):0.9223):0.4778);
(3:0.9292,(2:0.8203,(5:1.3846,6:1.4512):0.7138):0.8514,((4:0.7083,7:1.0039):2.2925,(1:0.7718,8:0.5884):0.7558):0.7290);
(2:0.7816,((1:1.2788,5:0.6299):1.2741,(4:0.6865,(6:1.0047,7:0.7125):1.3408):0.6654):0.6336,(3:1.2280,8:1.4326):1.3314);
(((1:0.7102,3:0.8437):0.8544,(5:0.8269,6:0.7669):0.7750):0.8152,(2:0.6838,4:1.8539):1.9338,(7:0.9874,8:1.1763):0.7726);
(6:0.6800,((5:0.8658,(1:0.7873,3:1.1202):0.6786):0.8115,(2:0.8167,4:1.6567):1.7484):1.0337,(7:0.9204,8:0.8944):0.9864);
(3:0.8048,((4:0.6860,(1:0.9390,2:0.7091):2.0269):1.7064,(5:0.9271,6:0.8685):0.7978):0.7606,(7:1.3407,8:0.6575):0.7757);
(8:0.8888,(6:1.4414,(3:0.6450,(1:1.1373,5:0.6728):1.6384):0.5854):1.2027,(2:0.8139,(4:0.6577,7:1.4208):0.7821):1.1135);
(2:1.2842,(4:0.7585,(3:1.1520,5:1.1142):0.9179):1.4366,((1:0.7019,6:0.9416):0.9281,(7:0.7131,8:1.4400):0.8469):0.7651);
((4:0.7309,(8:0.9067,(1:0.7784,6:1.4682):1.7073):0.8037):2.1069,(2:0.7199,5:0.9559):0.7347,(3:0.7098,7:0.5583):0.8193);
(2:0.9696,(6:0.7339,(3:0.8716,(1:0.9907,8:0.6165):1.5256):0.5772):1.4134,(4:1.2623,(5:0.6034,7:1.3484):0.8382):1.2493);
(7:0.7790,((1:1.2141,2:0.7613):0.9063,(3:0.7217,5:0.8411):0.8575):1.4226,(8:0.8455,(4:0.7075,6:1.1200):1.0187):1.8047);
((4:1.4870,(3:0.6474,5:0.7974):0.9992):1.2587,(2:0.8661,6:0.7207):1.2286,(7:1.1235,(1:0.7246,8:1.6387):0.8808):0.6272);
(4:0.6024,((2:0.5523,(1:0.7643,6:0.7749):0.8008):1.1882,(3:1.1154,7:0.9994):1.7653):0.5253,(5:0.8870,8:1.5858):1.4389);
(8:0.9672,((1:0.5396,5:1.0946):0.6752,(6:1.1355,7:1.2380):0.5517):1.2210,(2:1.2208,(3:1.0954,4:0.8569):1.1877):1.2165);
(4:1.3483,(3:0.7995,(5:0.7938,(1:0.7786,7:1.1178):1.2414):0.5873):1.7273,(2:0.5834,(6:1.7369,8:0.9292):0.7296):0.6270);
(7:1.1184,(3:0.5922,(8:0.8084,(1:0.6949,4:0.6689):0.7101):1.0507):1.9841,(6:0.6434,(2:0.6664,5:0.6953):1.2325):2.1347);
(5:0.6169,(1:0.7810,(7:0.6375,(4:1.1386,6:0.6192):0.6825):0.9301):0.7604,(3:0.6311,(2:1.4449,8:1.4479):1.5957):1.7143);
((6:0.7288,(5:0.8501,(1:1.0634,8:0.7443):0.8180):1.5310):2.2439,(2:0.5557,4:0.6331):0.6038,(3:0.7127,7:1.1301):1.3852);
(3:0.8634,(5:1.0233,(4:0.8508,7:1.0362):1.1061):0.6882,((1:0.7630,6:0.6720):2.1381,(2:1.3804,8:1.0792):0.6734):0.7259);
(3:0.7941,(4:1.0082,(5:0.5975,(1:0.5601,8:0.5372):1.0633):0.6463):0.9793,(2:1.0665,(6:1.5376,7:2.0866):0.9835):1.1397);
((6:1.2718,(3:0.4997,(1:0.4907,5:0.9844):1.2665):1.2202):0.6152,(2:1.6964,7:1.7242):0.5600,(4:0.7178,8:0.9871):0.9660);
(2:1.7494,((1:1.2002,7:0.9247):1.2920,(6:0.6630,(4:0.7114,5:1.1821):1.2730):1.0080):0.6654,(3:0.9989,8:0.6044):0.7275);
(7:0.8412,(6:0.8467,(2:0.5918,3:0.8869):0.7827):0.6565,(8:1.7841,(4:1.0833,(1:0.7293,5:0.7242):0.7717):1.0565):2.2450);
(7:1.6010,(3:0.8164,(1:0.7745,(5:0.8745,6:0.8683):1.2859):0.8914):1.0091,(8:1.0001,(2:0.8597,4:1.1733):1.0170):0.8287);
(8:0.7094,((1:1.0688,6:0.6747):1.3757,(3:2.7236,5:0.7122):1.5998):0.8353,(2:0.6525,(4:0.4110,7:0.4335):0.4897):1.3138);
(5:0.7150,(3:1.0479,(1:1.3556,(4:1.6930,6:0.4879):0.5335):0.8670):0.5603,(7:1.5077,(2:2.4786,8:0.5377):0.6293):0.5862);
(8:1.0829,((3:0.7111,(1:0.8032,4:0.7172):0.7080):1.8107,(5:0.8921,6:0.6242):1.4843):1.5488,(2:0.6437,7:1.2747):0.6992);
(7:0.6664,(2:1.4264,(8:0.8327,(1:1.0030,4:1.2627):0.7388):1.3955):0.6782,(5:1.6271,(3:0.6742,6:0.9180):0.9095):0.8675);
(6:0.7169,(1:0.6642,(5:0.7239,(2:0.9640,7:1.5112):0.6366):1.3456):0.7222,(4:1.1211,(3:0.6450,8:1.2827):0.9426):1.7240);
(7:0.5382,((2:1.0678,(1:0.7039,5:0.6717):0.6928):1.1424,(3:0.6617,4:2.0457):1.6580):1.3065,(6:0.8420,8:0.9478):0.7217);
((1:0.8720,(4:0.6970,5:0.6407):0.6194):0.8044,(3:1.0920,(2:1.7223,6:0.9663):1.3114):1.3800,(7:0.8341,8:0.7068):1.3536);
(2:0.7916,(1:1.8594,(3:0.9949,(5:0.8921,7:1.0645):1.0935):0.8064):0.6745,(8:0.6467,(4:0.8980,6:1.1754):0.8205):1.2825);
(5:0.9978,(2:1.3479,(3:0.8211,6:0.7953):0.9883):0.7521,(1:0.9111,(4:1.4773,(7:0.7355,8:0.7764):1.9926):0.7035):0.7011);
((2:1.3426,(1:1.0349,8:1.0180):0.7264):1.2278,(5:1.1246,(4:0.9571,6:0.7187):1.1679):0.9199,(3:0.8655,7:0.8579):1.0385);
((4:1.2040,6:0.6425):0.9047,(2:0.6662,7:0.7512):0.9565,(1:1.3047,(8:0.9392,(3:1.2481,5:0.5731):1.0020):2.1706):0.6374);
(7:1.0021,(5:1.0410,(2:0.7645,4:1.1872):0.7978):0.7887,((3:0.7565,6:0.9276):1.2065,(1:1.1755,8:1.0072):1.2945):1.0510);
((3:0.9939,(1:1.4638,(5:0.8772,7:1.3345):1.1288):0.6263):0.8714,(2:1.5469,4:0.8962):1.1292,(6:0.6929,8:0.7542):0.6847);
(4:0.7816,((2:0.8169,6:1.7850):0.5835,(1:0.8896,8:0.7846):1.5437):0.6533,(7:1.1230,(3:1.3969,5:0.7066):1.2618):0.6736);
(6:0.7567,(3:0.7092,(1:1.2769,(7:0.8992,8:1.1215):0.8021):0.6748):0.8755,(2:1.4409,(4:0.9631,5:1.0069):0.9208):1.5525);
(4:0.7797,(3:0.7210,(7:0.6380,(1:1.0179,8:0.6924):1.1033):1.2444):0.8007,(5:1.4145,(2:0.7045,6:1.6237):1.5527):0.7071);
(2:0.8939,((1:1.4370,4:0.8020):1.0351,(5:1.0301,6:0.8658):0.8322):1.1342,(8:0.7637,(3:0.7385,7:1.1911):0.9120):1.3643);
(6:1.0351,((2:0.5984,(1:0.7105,7:1.9062):1.3640):0.6267,(3:0.9794,4:1.0314):0.8048):1.4386,(5:0.9536,8:0.6051):0.9462);
(6:0.5104,(4:0.9104,(2:0.5913,7:1.0808):0.8202):1.2932,(1:1.3621,(5:0.5661,(3:1.2820,8:0.8473):1.9675):0.7922):0.9766);
((4:0.7022,(1:1.6314,6:1.6749):0.5298):0.4655,(3:1.0603,(2:0.4691,7:0.4017):1.0300):1.6745,(5:2.1635,8:0.6921):0.5051);
(4:0.8770,((1:1.0433,7:0.8770):1.3362,(5:0.6172,6:2.2981):0.8070):1.1712,(3:0.9718,(2:0.6998,8:0.6737):0.8926):0.7351);
(5:1.2322,(4:0.8910,(1:1.8935,(3:0.7631,8:0.9357):0.7046):0.7482):1.0272,(6:1.3939,(2:0.8714,7:0.8640):0.9713):0.7038);
(2:0.8716,(6:0.8814,(7:1.0285,(1:0.6561,3:0.7294):0.6089):2.0980):0.9833,(8:0.6186,(4:0.7726,5:1.3153):1.8296):0.6068);
(4:0.9235,(6:0.6759,(7:0.8387,(1:1.1059,2:1.0253):0.6060):1.1817):2.9131,(5:0.6966,(3:0.6247,8:0.8121):0.7472):0.8493);
(8:1.0862,(4:0.7250,(1:1.1646,(2:0.9957,5:1.1746):0.8384):0.7234):0.9715,(3:1.0859,(6:1.2008,7:0.8195):1.3217):0.8925);
(5:0.6542,(3:1.1766,(1:0.7072,(2:0.6683,4:1.5977):0.9581):0.5662):0.7561,(6:0.6513,(7:2.4006,8:1.1808):1.0131):0.6698);
(7:0.4997,((1:0.5135,3:1.5449):1.4170,(4:0.5316,6:1.6025):1.0765):1.1315,(8:0.5836,(2:2.0625,5:0.8504):0.6218):0.5644);
((4:1.4322,(3:0.8931,(1:1.4419,6:1.6261):0.6029):1.0964):0.4819,(5:1.2656,7:0.6794):1.3201,(2:1.1624,8:0.4864):0.5115);
(3:1.9424,((1:0.6825,6:1.3121):0.6097,(2:1.2409,5:0.7915):0.7722):1.0679,(7:0.6653,(4:0.8719,8:0.5961):1.6877):0.7598);
(4:0.5714,(5:0.8784,(7:1.1027,(1:0.8628,6:1.2065):0.6882):0.6068):2.1211,(2:0.7618,(3:0.7054,8:1.3289):0.7732):1.3929);
(8:1.3957,((2:1.3691,(1:0.7413,7:1.3428):0.8692):0.7549,(3:1.3869,5:0.7181):0.7387):0.7834,(4:1.3456,6:0.7971):0.7571);
(7:0.9292,(3:0.8778,(6:1.2181,(1:1.1166,5:1.1034):1.2658):0.9328):0.5977,(4:0.7146,(2:0.6942,8:0.9766):1.8727):0.7006);
((6:0.7027,(3:1.1638,4:0.6847):0.6871):0.9318,(2:1.2461,5:0.7037):1.3906,(1:1.5122,(7:0.8232,8:0.9727):1.2350):0.9466);
(2:0.6234,(5:0.6947,(3:0.8880,7:0.5395):0.7369):1.5362,(1:0.7199,(4:1.0337,(6:0.8472,8:0.7372):2.3673):1.5334):0.7427);
(5:0.8232,(7:1.0174,(4:0.7355,(1:1.3964,6:0.8909):0.9279):1.0939):1.5039,(2:0.7618,(3:0.8659,8:0.8506):1.0947):1.0378);
(2:0.6137,(5:0.5078,(6:0.4745,7:1.3997):0.4980):1.5764,((1:0.7886,3:1.2210):1.0434,(4:1.9452,8:0.9545):1.4916):0.4856);
(8:1.5818,((1:0.8650,5:0.7574):0.5393,(4:0.7063,(2:1.1145,7:0.5538):1.0467):0.6704):1.4980,(3:0.9819,6:1.6200):1.0649);
(5:0.8632,(7:1.0682,(6:1.4258,(1:0.8147,2:1.3598):0.6781):0.7877):0.9894,(3:1.0110,(4:0.8091,8:1.6049):0.9735):0.6146);
(3:0.9548,(6:0.6991,(4:0.9825,7:1.1745):0.7551):0.9398,(1:0.6857,(2:1.6545,(5:0.8685,8:0.9319):1.9419):0.7431):0.6686);
(7:1.7663,(4:0.5094,(1:1.6293,(5:0.5786,6:0.6253):1.3928):0.7165):1.9850,(8:0.6556,(2:1.0071,3:0.8827):0.6449):0.6065);
(3:0.6674,(6:0.6381,(2:0.6618,7:0.8283):0.8282):1.2892,(8:1.0895,(4:0.8035,(1:0.9081,5:0.5833):3.1294):0.9263):0.6468);
(6:1.0365,(3:0.8850,(2:0.8258,(1:0.8146,8:0.9013):1.4814):0.7950):0.8214,(4:0.6385,(5:0.9874,7:0.8076):0.8956):2.1101);
(6:0.7928,(2:1.0351,(3:0.6570,5:0.6308):0.9767):1.0625,(7:1.2256,(1:1.6363,(4:0.7908,8:0.6478):2.0042):0.6381):0.9021);
((3:0.9011,5:0.5681):0.9189,(2:0.8450,7:0.8311):0.6134,(1:0.5444,(4:0.6283,(6:0.9273,8:2.7862):1.9114):0.8550):0.6697);
(2:0.7291,((1:0.6886,5:1.0761):0.6356,(6:0.8264,7:0.6365):0.7936):1.0313,(8:1.7671,(3:0.7012,4:1.1020):1.6831):1.3295);
(6:0.7026,(4:0.9409,(5:1.4405,(1:0.7058,2:0.6496):0.7964):0.7727):1.8932,(8:1.0672,(3:0.6602,7:1.9545):0.7963):0.6201);
(6:0.9736,((4:0.7921,(1:0.9829,8:0.8317):0.7533):1.0825,(2:1.0906,3:1.3951):1.2228):0.7155,(5:1.2023,7:1.2635):0.6942);
(7:0.8811,(6:0.7396,(2:0.7670,(1:1.0261,4:1.2212):1.1826):0.8861):0.9800,(5:1.2511,(3:1.3488,8:0.9460):0.8013):0.9692);
(6:1.1802,(1:1.0607,(5:1.0218,(3:0.8864,4:1.2078):0.9720):0.8315):0.8966,(8:0.9021,(2:0.9292,7:0.9068):1.0236):1.1814);
(2:0.9247,(7:1.5088,(3:0.6160,6:1.1905):0.6699):0.8978,(1:0.8207,(5:0.7293,(4:0.6760,8:1.9422):1.1357):0.7608):1.1277);
(4:1.0292,((2:1.1236,7:0.6052):1.2844,(8:0.7034,(1:1.0993,6:1.3963):0.9292):0.6289):1.2051,(3:1.1707,5:0.8913):0.9333);
(4:0.5115,(6:1.3892,(2:1.7632,5:0.5373):1.5581):0.5112,(1:0.7945,(8:1.6099,(3:0.5155,7:0.8010):0.7711):1.6890):0.5484);
((1:1.3865,(6:0.7565,(2:0.7725,7:0.9671):0.6593):0.9174):0.8765,(4:0.7183,5:0.9822):1.7439,(3:1.0072,8:0.9959):1.2168);
(2:1.1570,(7:0.7514,(4:1.8188,(1:1.5111,5:0.7406):1.4706):0.6686):0.6886,(8:0.9832,(3:0.5880,6:0.7172):0.9319):0.9730);
(4:0.6548,(3:0.8081,(1:0.8053,(2:1.3552,5:1.7353):1.4879):0.8512):1.1916,(8:0.7400,(6:0.9517,7:0.6201):1.2398):0.5591);
(6:0.9150,((1:1.6858,3:1.1545):0.8434,(2:1.2408,(4:0.7456,5:0.6302):0.9514):0.9712):0.8970,(7:1.6601,8:0.6049):0.7001);
(((1:0.8142,4:1.1103):1.2853,(3:0.7541,5:1.0376):0.6301):1.0921,(6:1.0291,7:1.3102):0.5498,(2:0.8196,8:0.8725):1.6950);
(2:0.6208,(7:0.6307,(5:1.9548,6:0.6214):0.9210):0.6679,(8:1.1554,(4:0.6181,(1:0.6415,3:0.7244):1.2913):0.7687):2.3838);
((3:1.4267,4:1.2750):0.6786,(5:0.6626,6:0.6584):1.5241,(1:2.0791,(7:0.8955,(2:0.6595,8:0.8048):0.5407):0.8801):0.9151);
(((1:0.7919,3:1.2320):1.5925,(4:1.2115,7:1.1340):0.7792):0.9528,(2:0.5376,6:0.9541):1.0879,(5:0.6255,8:0.6747):1.4263);
(4:1.7547,(7:0.5241,(5:1.0845,(1:1.6649,6:0.5387):0.6104):0.5203):1.0790,(8:1.7344,(2:0.6385,3:0.5429):1.7029):0.6046);
(2:1.3812,((1:1.0751,(4:1.5499,5:0.7478):1.2890):0.7415,(3:0.7381,7:0.8295):0.9892):1.3035,(6:0.8248,8:0.6891):0.8414);
((1:1.7293,(3:1.0557,7:1.0071):0.9371):0.7464,(2:0.6108,(5:1.0346,6:0.8367):1.0534):0.8146,(4:1.0783,8:1.1046):0.9914);
((1:2.0148,(3:0.7935,6:1.1108):0.8879):1.7709,(2:0.5955,(4:0.7441,7:1.1449):0.8535):0.9340,(5:0.5068,8:0.9708):0.6727);
(8:1.4883,(2:0.7789,(4:0.5837,(1:0.8491,6:0.7061):0.9945):0.9648):0.8561,(5:2.1477,(3:1.1548,7:0.9708):0.9352):0.5700);
(5:0.8415,(7:0.6105,(1:1.3128,(3:0.7106,8:0.4764):0.6581):1.1619):2.4279,(4:0.5753,(2:0.8130,6:0.8041):0.4971):2.1106);
(4:0.6144,(2:0.5063,(7:1.1333,(1:1.8894,5:1.5142):1.9979):0.5873):1.1005,(3:1.2064,(6:0.6643,8:0.6295):0.5106):0.6458);
(8:0.7525,(3:1.2005,(6:0.8469,(1:2.0910,4:0.8798):0.7029):1.0162):1.2057,(5:1.1569,(2:0.7672,7:0.7412):0.7233):0.9159);
(2:0.6270,(5:1.0769,(3:1.2971,(1:1.1212,4:0.6914):0.6765):1.2855):0.8690,(6:0.8007,(7:1.1244,8:0.7025):2.0287):0.6990);
(2:0.9055,(7:0.7409,(3:0.7932,(1:1.8491,5:1.1632):1.2747):0.7388):0.6822,(4:1.5537,(6:1.0760,8:0.7312):0.7871):0.7044);
(6:2.2342,(3:1.2168,(2:1.1579,5:1.2947):0.5375):0.8820,((1:0.9157,4:0.9671):0.5258,(7:0.5665,8:0.5408):1.0899):1.0710);
(3:1.6482,(5:0.6573,(2:0.8430,(1:0.7168,6:0.7551):0.6603):1.3566):2.4036,(7:1.0458,(4:0.5719,8:0.9767):0.5908):0.7737);
(8:1.0030,(1:1.0688,(4:0.7118,(3:0.5934,7:0.8115):0.7628):0.8682):0.9647,(5:0.7217,(2:1.2685,6:1.4188):1.5284):1.2782);
(2:0.7250,((3:1.0338,(1:0.7591,6:1.0719):1.0860):1.3524,(4:0.7519,5:1.0598):1.0251):0.9295,(7:0.7790,8:1.4362):0.9901);
(6:0.9388,(5:1.0434,(7:0.5371,(1:1.4607,4:0.6469):1.2126):3.1477):0.6945,(2:0.7926,(3:0.7081,8:0.6327):0.6424):0.5423);
(8:1.8006,((1:0.9138,3:0.8763):0.8758,(7:0.7969,(2:0.7148,5:0.8796):1.1037):0.8794):0.7983,(4:1.4461,6:1.1176):0.7970);
(6:0.7749,((1:1.4538,4:0.7044):1.1106,(2:1.0085,3:0.9572):0.9554):1.0590,(8:1.3711,(5:1.1892,7:0.8102):1.0085):0.5971);
(6:1.2179,(1:0.6937,(5:0.6720,(3:0.7043,4:0.7832):1.2344):0.8966):0.9663,(2:1.3811,(7:1.0965,8:0.9574):1.1867):1.2099);
