(8:1.8374,((1:0.7877,6:0.8595):0.6610,(2:0.5855,(4:1.3859,7:1.1496):0.9233):1.0656):1.0167,(3:0.8454,5:0.8711):1.0112);
(5:0.9377,(1:1.2079,(6:0.6147,(4:1.4927,7:0.6055):0.8221):0.6780):1.4203,(8:1.0536,(2:1.1875,3:0.9233):1.4633):0.5934);
(3:1.0648,(7:1.9712,(1:0.5173,(5:0.5366,6:0.6551):1.1807):2.3814):1.1881,(2:0.7305,(4:0.5299,8:0.6211):0.5609):1.0625);
(5:1.2878,((1:1.0754,7:1.2068):0.9959,(2:0.7325,4:1.2541):0.7133):0.7025,(8:0.7333,(3:1.5951,6:1.0057):0.9659):0.7318);
((7:1.4979,(5:0.6820,(1:1.3563,6:0.6940):1.5828):1.0960):1.1499,(2:0.7465,3:0.7867):0.7848,(4:1.2150,8:0.7689):0.6391);
(7:0.5969,(6:0.8863,(2:0.7651,5:0.6704):1.2300):2.3927,(1:0.8487,(8:1.4464,(3:0.7411,4:0.6395):1.0220):0.8185):0.9425);
(6:0.8279,(4:0.5540,(8:0.7188,(1:0.6368,7:1.7003):0.6593):0.5931):0.5619,(2:2.3791,(3:1.3414,5:0.6057):0.7007):1.7213);
(2:0.6981,((1:0.7587,4:0.8346):0.8405,(7:0.8726,(3:0.7580,5:0.7697):0.9059):0.8962):0.7919,(6:1.3618,8:0.7536):2.7585);
(4:0.6663,(1:0.8787,(3:1.9843,(2:0.6166,7:1.8639):0.6682):0.6989):1.1621,(5:0.5742,(6:0.6429,8:1.0918):0.9546):1.1974);
((2:1.6911,4:1.2842):0.6641,(6:0.8777,7:1.5035):1.4684,(8:0.9167,(5:0.7178,(1:0.6131,3:0.7004):0.7557):1.3657):0.4417);
(2:0.6413,(6:0.5801,(4:0.8846,7:2.0198):1.1606):0.8000,(3:0.8791,(5:0.8499,(1:0.8191,8:0.8953):1.6219):0.8310):1.0172);
(6:2.5088,(2:1.0278,(1:1.1248,(4:0.7481,5:0.6397):0.9734):1.5327):0.6847,(7:0.5753,(3:0.7301,8:0.9347):0.8397):0.6802);
(8:0.9003,((1:0.6114,5:1.0521):0.7470,(7:0.6919,(3:1.9280,4:0.6065):1.0928):1.5251):1.2334,(2:1.3588,6:0.5870):0.6658);
(3:1.0934,(7:0.9459,(1:0.9438,(2:0.8859,4:0.9832):0.8137):1.9277):0.6801,(5:0.6150,(6:1.6304,8:0.9572):0.7649):0.7587);
(8:0.6188,(2:0.7466,(3:0.8657,(1:1.2563,7:1.0852):0.7916):1.6588):0.6260,(4:1.3067,(5:1.4559,6:0.7175):1.0249):0.8460);
((1:0.5086,(3:0.5374,(6:0.6938,7:2.0315):0.7962):0.9000):0.7629,(2:1.4863,5:1.0098):1.4794,(4:1.1007,8:0.9621):0.7314);
(2:1.0719,((4:0.9632,5:0.8740):1.2141,(8:0.8829,(1:1.4455,7:0.7162):1.2098):0.6870):1.2115,(3:0.7419,6:1.0335):0.9485);
(6:0.6131,(5:0.7263,(8:1.1000,(1:1.6963,7:1.2003):0.9222):2.3646):0.6640,(2:0.6750,(3:0.5925,4:0.7957):0.8579):0.7922);
(6:1.4516,((1:1.2136,5:0.7059):1.5377,(2:1.2104,(3:0.7137,4:0.6909):0.7820):1.4680):0.6017,(7:1.0602,8:0.6857):0.8785);
(5:0.9128,(7:0.6715,(2:1.3990,3:1.3640):0.6420):0.8909,((1:1.1171,6:0.9625):0.7672,(4:0.7857,8:0.8360):1.2407):1.4105);
(6:1.2343,(7:0.5101,(2:2.5514,4:1.1024):0.7817):1.2696,(1:0.7188,(5:0.8255,(3:0.7616,8:1.4964):0.6828):0.4929):0.5724);
(4:0.8196,(7:1.3030,(3:1.6098,(1:1.6930,2:0.6816):0.9411):0.6568):1.3370,(5:1.1925,(6:0.6635,8:0.6958):0.7132):0.6930);
(8:1.5629,((1:1.1405,3:1.2537):1.0031,(5:1.1436,7:0.6801):0.9303):0.9430,(6:0.6638,(2:1.3791,4:0.9038):0.6673):0.7289);
(4:0.8776,(7:0.6695,(6:0.9714,(1:1.6718,3:1.2916):0.7041):1.0307):0.7888,(8:0.9925,(2:0.9333,5:0.7036):1.0143):1.3507);
(8:0.8219,(1:1.5470,(2:1.7479,(5:0.6410,6:0.5122):0.4738):1.0545):0.7830,(4:0.6402,(3:1.4954,7:0.8178):1.5644):0.9008);
(4:0.9902,(7:0.6551,(1:1.4564,(6:1.0227,8:0.6720):0.6020):1.8158):0.6076,(3:0.6924,(2:0.8817,5:0.8987):1.6400):1.0655);
((1:0.8106,(5:0.6180,6:1.1451):0.7945):0.6317,(3:1.0617,(2:1.1616,4:1.5750):0.6173):1.2596,(7:2.0526,8:0.5761):0.6961);
((2:1.2664,(1:1.3481,(5:0.6257,7:0.6451):2.0668):0.4925):0.4848,(3:0.9244,6:1.9214):0.6233,(4:0.8798,8:1.1020):0.6197);
(5:1.1523,((1:1.7574,(6:1.2008,7:0.6167):1.1833):0.7486,(3:0.7028,4:0.9619):0.5285):1.1995,(2:1.0260,8:0.7924):1.1298);
((2:0.5794,(5:0.5413,(1:1.0425,3:1.2459):0.5126):0.5145):0.9442,(6:0.5510,7:0.9135):2.5952,(4:0.5504,8:2.0349):0.9745);
(7:0.8338,(2:1.3058,(8:0.6939,(1:0.5965,6:1.1185):1.5672):1.6526):0.6307,(5:1.7919,(3:0.5404,4:0.6080):0.8527):0.8079);
(7:0.7661,(5:1.1755,(8:0.8144,(1:0.9658,3:0.9800):0.9861):1.2761):0.5908,(4:0.6379,(2:1.1122,6:1.7563):1.2825):0.6562);
(5:1.6254,(6:0.8297,(4:0.8427,(1:1.1914,8:0.5669):0.5698):0.5814):0.9710,(3:0.8396,(2:0.8469,7:2.5469):0.8169):0.7713);
(8:1.1247,((1:0.6823,6:0.9627):0.8484,(4:0.6677,7:0.8392):0.9056):1.0254,(3:0.6458,(2:1.7156,5:1.0022):1.1408):1.4397);
(5:0.5243,(4:0.6926,(2:2.0671,3:1.2124):0.6787):0.8491,((1:0.7210,6:1.5035):0.6623,(7:0.6404,8:2.0791):0.7963):0.5732);
(5:1.7139,(4:0.7176,(6:1.8683,7:0.7719):1.3557):1.1739,((1:0.5999,2:1.0692):0.6226,(3:0.6137,8:0.9881):0.8632):0.6421);
(6:0.6889,(2:0.8523,(4:0.7912,7:0.7262):0.5760):0.9940,((1:0.7880,5:1.2456):0.6648,(3:0.5685,8:2.1537):2.1343):0.8164);
(4:0.5526,(1:2.2633,(6:1.7039,(2:0.9520,7:0.6987):1.6464):0.7892):0.6194,(3:0.7658,(5:0.5862,8:1.0187):0.7326):0.6713);
(3:0.6175,(2:0.7429,(8:1.0465,(1:0.6951,5:1.6039):0.7019):1.1043):0.8599,(4:0.8982,(6:2.3215,7:0.7554):0.9882):0.6646);
(5:0.7708,((1:1.6043,(2:1.6453,3:0.5327):0.8259):0.7829,(4:0.7984,7:0.9763):1.7416):0.8640,(6:1.0474,8:0.7011):0.7091);
(8:2.7976,((1:0.5904,2:0.8358):0.6011,(4:0.8319,(3:0.7201,5:2.2095):1.0114):0.7347):0.6976,(6:0.7473,7:0.5628):0.6598);
(3:0.5763,(2:0.8352,(4:1.5612,5:0.4445):1.8856):0.9480,(8:0.4551,(1:0.5197,(6:0.4660,7:0.4353):1.1806):1.2008):2.4918);
((1:1.1429,(6:0.6639,7:0.7840):1.1801):1.8925,(3:0.6933,(2:1.2760,5:0.7340):0.6755):1.4828,(4:1.1096,8:0.7455):0.6200);
(2:0.7925,(5:1.2487,(6:0.8124,7:0.7484):1.0439):0.7547,(8:0.8980,(1:1.3255,(3:1.2206,4:0.7765):1.5696):0.7776):1.0318);
(2:1.6609,(5:0.6172,(3:0.8733,4:0.6199):0.6010):0.6590,(8:1.3796,(6:1.5797,(1:1.1598,7:1.7403):0.6154):0.5839):0.9100);
(7:0.6226,((1:0.7472,3:1.0866):0.7101,(4:1.3620,5:0.6880):1.1771):0.8391,(6:0.6044,(2:0.7142,8:2.7306):0.6610):1.0572);
(((1:1.2013,2:0.6908):0.7705,(5:0.7225,6:1.3270):0.8230):1.4700,(4:0.7931,7:1.0692):0.8239,(3:1.6776,8:0.8190):0.8121);
(6:0.8312,(5:0.7951,(2:0.7692,7:1.0929):0.5070):1.2076,((1:1.0307,4:1.6799):1.2378,(3:1.5916,8:0.8804):0.8132):0.5634);
(4:1.5420,(1:0.8368,(7:0.6459,(3:1.6368,6:0.7755):1.0482):0.6051):1.0009,(5:0.6510,(2:1.1177,8:1.3961):0.6390):1.1052);
(8:0.7916,(4:0.7781,(5:0.7835,(1:0.6552,2:3.1018):0.7837):0.9450):0.6776,(7:0.6436,(3:0.8355,6:1.1964):0.6911):1.1168);
(7:1.0983,((4:0.6450,(1:0.9734,6:0.7445):1.0507):1.0297,(2:0.8537,5:1.0372):0.8885):0.7384,(3:1.1843,8:1.4332):1.3231);
((3:1.5597,(4:0.6904,(1:0.6277,7:1.0465):0.6023):0.6760):1.6856,(5:1.9753,6:0.6389):0.9923,(2:0.6171,8:0.6393):1.2489);
(7:1.3505,((1:0.6970,6:0.8423):0.9042,(2:1.2246,4:1.2556):1.0779):1.1019,(8:0.8883,(3:0.7868,5:1.1690):0.9460):0.7558);
((7:0.6500,(1:1.6693,(3:0.7877,4:0.9725):0.9250):0.8659):1.1346,(2:0.7110,5:1.2011):1.0786,(6:0.7022,8:1.0687):1.2334);
(2:3.2366,(1:0.6787,(7:0.7007,(3:0.5801,6:0.9818):0.6453):0.7813):0.8923,(4:0.7451,(5:0.6135,8:0.5509):1.5204):1.0734);
(2:0.9945,((1:1.6448,3:1.1809):0.6389,(4:1.0056,5:1.1379):0.7918):0.7593,(6:0.6238,(7:1.0130,8:0.7884):1.3310):1.0901);
(4:0.9933,(3:0.7904,(8:0.6985,(1:0.4967,6:1.2176):0.6095):2.0659):0.5993,(2:0.9312,(5:0.8793,7:0.6435):2.0849):0.9900);
(3:0.6130,(5:0.7859,(1:1.4134,(4:1.1271,7:0.6531):1.5361):0.7574):0.8739,(2:1.0784,(6:0.5676,8:1.6549):1.0574):0.8817);
(7:0.4945,(4:0.8389,(8:1.6391,(1:1.0948,5:0.9900):2.4126):0.5378):0.5551,(2:0.5777,(3:0.6677,6:0.5964):0.6973):1.8981);
(6:1.4268,(2:1.1103,(8:0.6810,(1:1.2655,3:1.6128):1.3220):0.7767):0.6500,(4:0.9186,(5:0.7280,7:0.8504):0.9028):0.7551);
(6:0.7793,(2:0.9431,(5:1.1607,(1:0.8630,3:0.6335):1.0047):0.7704):2.0529,(8:0.9479,(4:0.7141,7:1.6399):0.8569):0.6336);
(3:0.6269,(5:1.5977,(4:1.0300,6:0.7658):0.5951):1.2469,(1:0.5014,(2:0.5653,(7:0.7152,8:2.8975):0.5103):0.4871):1.4608);
(4:0.9453,(5:1.4126,(2:0.6722,3:0.8630):0.5486):0.7341,((1:0.7249,7:1.3990):2.5100,(6:1.0575,8:0.7684):0.5575):0.8068);
(7:1.4020,((1:0.9969,3:0.5609):0.6293,(6:1.5089,(4:0.6214,5:0.8257):1.6981):0.5999):0.5715,(2:1.1777,8:1.1669):1.2406);
(6:1.2841,(5:1.1330,(2:1.5237,3:1.8157):0.6047):0.5792,(8:0.8349,(7:1.2067,(1:0.7259,4:0.7434):0.6067):0.8471):1.0947);
(8:0.7959,(6:0.9935,(3:1.0084,(1:0.8506,5:0.6936):1.0083):1.3921):0.6752,(2:2.2025,(4:1.2564,7:0.6762):0.7633):0.6839);
(4:0.6503,((2:0.7115,(1:0.6116,3:2.0840):1.2316):1.4784,(5:0.8436,6:1.0716):0.5855):1.7609,(7:0.6482,8:0.6192):0.7036);
(6:1.1120,(2:1.8658,(7:1.4695,(1:0.5260,5:0.7812):0.5151):0.9754):0.4813,(4:0.8338,(3:1.2423,8:0.8136):0.7936):1.5903);
(6:0.8454,((4:1.2880,5:0.8661):0.6687,(1:1.6372,8:0.6216):1.1552):0.9007,(3:1.4245,(2:0.6411,7:0.8805):1.4931):0.5779);
((1:1.1228,(3:0.7752,6:1.0911):0.8785):0.9494,(7:1.0802,(2:0.9820,5:1.3253):0.6223):1.1347,(4:1.3473,8:0.9241):0.7670);
(4:1.7879,(5:0.7135,(2:1.0050,3:0.6512):1.4480):0.6380,(8:1.0267,(1:0.8281,(6:1.0959,7:0.8757):1.3328):0.8555):0.7417);
((2:1.2840,7:1.4471):0.6218,(4:0.6662,5:0.6785):1.2005,(8:0.7555,(3:1.2646,(1:0.7115,6:1.0020):0.7644):0.8377):1.7661);
((7:1.0290,(6:1.4615,(1:1.1452,8:0.6593):1.1645):0.7492):1.1314,(3:0.7993,4:0.7955):1.0837,(2:0.7801,5:1.4078):0.7935);
(2:0.6462,((4:1.2811,6:0.7904):0.9584,(8:1.9767,(1:0.7635,3:1.0326):1.1925):0.4732):0.5987,(5:0.7365,7:1.6483):0.9018);
(5:0.8320,(3:0.5498,(4:0.9979,(1:1.2907,6:0.6571):1.5535):0.7505):0.7585,(8:1.4731,(2:1.6382,7:0.6615):0.8243):1.0128);
(8:0.8238,((1:1.1382,7:0.7185):1.1032,(5:0.8437,6:1.0992):0.7966):1.0935,(2:1.0535,(3:0.9296,4:1.0603):1.0868):1.2531);
(4:1.5129,((1:0.5655,2:0.5114):2.1572,(5:0.7025,6:0.8154):0.7198):1.0172,(3:0.5083,(7:0.8951,8:1.5042):0.9880):1.1026);
(((1:1.2896,7:0.6548):0.6741,(3:2.0430,4:0.8208):0.7661):1.4215,(2:0.6459,5:0.8184):0.6180,(6:1.1446,8:1.4235):0.6797);
((7:0.8997,(5:1.2307,(1:0.6403,4:0.8013):1.2031):0.8870):0.8823,(2:1.1825,3:1.1811):0.6356,(6:1.5966,8:1.2416):0.6182);
(8:0.6877,(4:0.5919,(1:0.8610,(3:0.8968,6:1.5407):0.6427):0.9852):1.1757,(7:0.6193,(2:0.6463,5:3.0000):0.6653):0.6875);
(((1:1.0947,4:0.7742):1.0083,(6:1.2792,7:1.2769):0.7595):0.7241,(2:0.6784,5:0.9977):0.8535,(3:0.7179,8:1.9970):0.8386);
(5:0.8990,(2:1.3885,(3:0.7547,4:1.4716):1.0447):1.7954,(8:0.6614,(7:0.5146,(1:0.6950,6:0.8588):0.8220):0.7959):1.2983);
((1:0.7936,(5:1.6641,(4:0.9735,7:0.8439):0.7540):0.6168):1.4082,(2:0.6212,6:0.7464):0.7859,(3:1.3631,8:1.1452):1.2841);
(7:2.1452,(1:0.8481,(2:0.9014,(3:0.9009,5:0.7645):0.7425):0.7246):0.6977,(4:0.8621,(6:0.7394,8:1.3907):1.7294):0.5535);
(2:0.7736,((6:1.0547,7:1.2133):0.7325,(8:0.6942,(1:1.5752,4:0.7708):0.8199):1.0397):0.7967,(3:1.0178,5:0.7275):1.7840);
(5:1.3649,(3:0.6610,(7:0.6389,(1:1.5359,6:0.9271):0.9644):0.7158):1.5654,(2:1.4894,(4:0.8192,8:0.6824):0.6577):0.9778);
(6:2.6354,(2:0.5637,(3:0.8388,(1:1.3268,5:0.7114):0.9429):1.0723):0.6303,(8:1.0544,(4:0.8353,7:1.0099):0.6790):0.6998);
(6:1.0338,(4:0.9524,(3:2.3807,5:0.7753):0.5593):0.5741,(7:1.3344,(8:1.5583,(1:0.7434,2:0.6034):0.6172):0.7959):1.0719);
(4:0.7511,(1:1.0974,(6:0.6086,(2:0.7076,5:0.5756):3.3304):0.5718):1.1857,(8:0.6521,(3:1.0283,7:0.6949):0.9650):0.8314);
(6:0.7119,(5:0.6498,(3:0.8866,4:1.2956):1.2716):0.8487,(8:1.1694,(7:1.0331,(1:1.6049,2:0.6922):1.0702):0.8151):0.9507);
(8:0.6150,((1:1.1372,6:0.6344):1.7089,(2:1.0212,(3:0.8781,4:1.2644):0.8042):0.6845):0.6406,(5:0.9114,7:1.1059):1.5942);
((5:0.7607,(1:1.2762,4:0.9454):1.3628):0.5166,(6:0.8893,(2:0.8042,7:0.5564):0.6968):1.5502,(3:0.9938,8:0.6845):1.9632);
(3:0.9644,(5:1.0662,(2:0.7091,4:1.4327):1.2819):0.7552,(8:1.4375,(1:1.7646,(6:0.5481,7:0.9160):0.5563):1.0180):0.5500);
(7:0.8403,(4:0.5872,(5:0.5687,(1:0.7542,3:0.7929):0.5864):1.9324):1.0163,(2:0.5129,(6:1.7907,8:1.1653):1.0324):1.4202);
((7:0.9262,(1:0.7615,(3:0.8327,5:0.8069):1.1924):0.7646):0.6514,(2:1.0819,6:1.3340):2.1966,(4:0.9973,8:0.7378):0.7167);
((6:0.6445,7:0.8126):1.0970,(3:1.1819,4:0.8797):0.6410,(1:2.2111,(8:0.8271,(2:1.2756,5:0.7665):0.6805):1.2131):0.7695);
(4:0.5988,(7:2.0916,(1:0.5036,(3:0.6855,6:0.6384):1.4081):0.6294):0.7895,(5:1.8142,(2:0.7276,8:0.7675):0.8809):1.4648);
(8:0.8236,((7:1.8902,(1:1.0864,6:0.9848):1.1333):1.2139,(2:0.8841,4:0.7952):0.7255):0.8158,(3:0.5909,5:0.9142):1.1420);
(5:0.6814,(7:0.9344,(6:1.0173,(1:0.8584,3:0.7347):1.2553):1.6786):0.7411,(2:1.1876,(4:0.9867,8:1.1777):0.8880):0.8588);
(6:0.6242,((5:0.8258,7:1.6831):1.4474,(1:1.8733,(4:0.6028,8:0.8710):0.6939):0.9045):0.6913,(2:0.8610,3:0.6888):1.2329);
(4:0.8307,(3:0.7885,(5:1.0479,(1:1.6894,8:1.4885):0.9526):0.8864):0.9393,(7:0.8304,(2:0.8874,6:0.9419):0.8061):0.9111);
(5:1.0889,(1:2.3262,(7:0.9943,(3:0.6778,4:0.5371):0.7078):1.9961):1.6799,(6:0.7042,(2:0.5211,8:0.4999):0.5219):0.7448);
(7:0.5656,(2:1.1713,(4:0.6098,(1:0.6209,8:2.4355):0.7741):0.5709):0.5665,(5:1.1900,(3:1.1935,6:1.4952):1.0860):0.7207);
((2:0.8601,7:0.8186):1.3124,(3:1.5073,4:1.2448):1.4466,(1:1.0899,(8:0.5687,(5:0.5607,6:0.9189):1.1163):0.6541):0.9015);
(8:1.4087,(3:0.7876,(4:1.0103,(1:0.5871,5:0.5305):0.7372):0.6810):1.3956,(2:1.7778,(6:0.9091,7:0.9641):0.6316):1.5793);
((2:1.0552,(1:1.7054,4:1.2593):0.8318):1.0483,(6:1.0995,(5:0.5900,7:1.2306):1.1462):0.5266,(3:1.2858,8:0.5539):0.6675);
